class,link,visual_type0,visual_type1,visual_type2,visual_type3,visual_type4,visual_type5,visual_purpose0,visual_purpose1,visual_purpose2,visual_purpose3,visual_purpose4,visual_purpose5,bug_type,ClosedTime,Participants,DescriptionLength,Comments,FirstCommentTime,LastCommentTime
img,https://github.com/ballerina-platform/ballerina-lang/issues/30509,Output,,,,,,example,,,,,,Program anomaly issue,12.1294097,1,13,1,0.2063888889,0.2063888889
img,https://github.com/grafana/grafana/issues/25228,Logs,,,,,,example,,,,,,GUI-related issue,3.15260417,1,136,10,0.1418402778,3.152604167
img,https://github.com/facebook/react-native/issues/26368,Output,,,,,,example,,,,,,GUI-related issue,100.445706,2,123,4,2.302037037,3.121041667
img,https://github.com/mozilla-mobile/fenix/issues/1970,UserInterface,,,,,,example,,,,,,GUI-related issue,475.021782,4,37,4,0.04271990741,1.483310185
img,https://github.com/facebook/react-native/issues/25489,Logs,,,,,,additional information,,,,,,Configuration issue,0.44725694,2,0,2,0.01668981481,0.4472569444
img,https://github.com/wordpress/gutenberg/issues/17793,UserInterface,,,,,,additional information,,,,,,GUI-related issue,3.59512731,2,34,3,0.5854050926,3.594641204
img,https://github.com/elastic/kibana/issues/57596,Logs,,,,,,example,,,,,,Network issue,237.96706,2,44,2,0.3161689815,0.9477777778
img,https://github.com/elastic/kibana/issues/44272,Output,,,,,,example,,,,,,Program anomaly issue,586.255694,4,130,7,0.0230787037,586.2556944
img,https://github.com/ballerina-platform/ballerina-lang/issues/34418,Diagram,,,,,,additional information,,,,,,Program anomaly issue,15.7943519,3,40,5,0.01319444444,15.79435185
img,https://github.com/cleverraven/cataclysm-dda/issues/44845,Output,,,,,,example,,,,,,GUI-related issue,1.0887037,0,84,0,,
img,https://github.com/facebook/react-native/issues/26428,Logs,,,,,,additional information,,,,,,Program anomaly issue,4.63059028,3,109,9,0.996099537,171.7857523
img,https://github.com/elastic/kibana/issues/108894,Output,,,,,,example,,,,,,GUI-related issue,17.0847222,5,42,14,1.16E-05,15.99454861
img,https://github.com/facebook/react-native/issues/26595,Configuration,Logs,Logs,Logs,,,additional information,example,additional information,example,,,Program anomaly issue,0.31403935,1,148,1,0.3127314815,0.3127314815
img,https://github.com/microsoft/powertoys/issues/4478,Others,Output,,,,,example,example,,,,,GUI-related issue,130.503438,3,70,4,0.8035532407,117.590625
img,https://github.com/microsoft/vscode/issues/119667,Diagram,,,,,,example,,,,,,GUI-related issue,7.19269676,1,21,4,0.2614583333,7.191006944
img,https://github.com/facebook/react-native/issues/24553,Logs,Code,,,,,additional information,additional information,,,,,Program anomaly issue,71.9183333,11,145,19,0.8631018519,156.6421181
img,https://github.com/elastic/kibana/issues/23460,UserInterface,UserInterface,,,,,additional information,example,,,,,GUI-related issue,1.84673611,0,71,0,,
img,https://github.com/rancher/rancher/issues/17310,UserInterface,,,,,,example,,,,,,GUI-related issue,25.0890741,0,50,1,25.08907407,25.08907407
img,https://github.com/elastic/kibana/issues/116975,UserInterface,Performance,,,,,example,example,,,,,GUI-related issue,97.9884375,1,12,4,1.075625,97.9884375
img,https://github.com/tensorflow/tensorflow/issues/38253,Logs,,,,,,additional information,,,,,,Configuration issue,14.4120602,2,72,3,0.2904513889,14.41206019
img,https://github.com/microsoft/vscode/issues/116808,Code,,,,,,additional information,,,,,,Program anomaly issue,0.15324074,1,43,0,0.8240625,0.8240625
img,https://github.com/elastic/kibana/issues/36295,Diagram,,,,,,additional information,,,,,,Configuration issue,51.0292477,2,46,7,2.31E-05,50.98880787
img,https://github.com/elastic/kibana/issues/81208,UserInterface,,,,,,additional information,,,,,,Program anomaly issue,0.91532407,3,49,4,2.31E-05,0.1656481481
img,https://github.com/elastic/kibana/issues/30625,Diagram,,,,,,example,,,,,,GUI-related issue,3.06152778,2,60,2,1.16E-05,1.560752315
img,https://github.com/elastic/kibana/issues/12862,Diagram,,,,,,example,,,,,,Program anomaly issue,27.1381944,0,19,0,,
img,https://github.com/mozilla-mobile/fenix/issues/8462,UserInterface,,,,,,example,,,,,,GUI-related issue,255.126563,2,15,2,193.9186458,255.1265625
img,https://github.com/vector-im/element-web/issues/12698,UserInterface,,,,,,example,,,,,,Database-related issue,1.29899306,1,19,4,0.3727314815,1.282743056
img,https://github.com/zephyrproject-rtos/zephyr/issues/42508,Logs,,,,,,example,,,,,,Network issue,16.373125,2,22,2,2.360462963,16.373125
img,https://github.com/grafana/grafana/issues/11091,UserInterface,,,,,,example,,,,,,Program anomaly issue,1.87454861,0,27,0,,
img,https://github.com/microsoft/vscode/issues/109507,UserInterface,,,,,,example,,,,,,Test code-related issue,1.17416667,0,22,0,,
img,https://github.com/rancher/rancher/issues/13524,Diagram,UserInterface,Diagram,,,,additional information,example,additional information,,,,Program anomaly issue,23.4795833,4,73,9,0.4912615741,40.82405093
img,https://github.com/elastic/kibana/issues/43892,Logs,,,,,,example,,,,,,GUI-related issue,11.0720833,1,36,1,2.31E-05,2.31E-05
img,https://github.com/godotengine/godot/issues/28870,UserInterface,,,,,,example,,,,,,GUI-related issue,1.25585648,0,7,0,,
img,https://github.com/elastic/kibana/issues/40015,UserInterface,Configuration,,,,,example,additional information,,,,,GUI-related issue,8.0349537,1,45,1,2.31E-05,2.31E-05
img,https://github.com/godotengine/godot/issues/33715,Code,Code,,,,,additional information,additional information,,,,,Program anomaly issue,63.5424421,2,31,3,0.2073611111,1.888935185
img,https://github.com/cleverraven/cataclysm-dda/issues/30061,Logs,,,,,,example,,,,,,Program anomaly issue,2.81711806,1,84,1,1.96287037,1.96287037
img,https://github.com/mozilla-mobile/fenix/issues/10236,Diagram,UserInterface,,,,,example,example,,,,,GUI-related issue,105.254155,2,15,2,0.003136574074,0.04203703704
img,https://github.com/gatsbyjs/gatsby/issues/29213,Output,Logs,,,,,additional information,additional information,,,,,Program anomaly issue,0.6928588,2,516,3,0.003425925926,0.6928587963
img,https://github.com/tensorflow/tensorflow/issues/39373,Output,,,,,,additional information,,,,,,GUI-related issue,5.53240741,3,82,6,0.07351851852,5.421851852
img,https://github.com/godotengine/godot/issues/18366,Configuration,Performance,Performance,Performance,Performance,,additional information,example,example,example,example,,Performance issue,8.71092593,3,116,3,0.7927199074,8.455162037
