class,link,bug_type,ClosedTime,Participants,DescriptionLength,Comments,FirstCommentTime,LastCommentTime
none,https://github.com/ballerina-platform/ballerina-lang/issues/4568,Program anomaly issue,0.006539351852,0,20,1,0.006539351852,0.006539351852
none,https://github.com/godotengine/godot/issues/42027,Program anomaly issue,0.7013078704,2,46,3,0.01923611111,0.4558680556
none,https://github.com/ansible/ansible/issues/25167,Program anomaly issue,49.65865741,3,135,8,0.007615740741,2.696446759
none,https://github.com/rancher/rancher/issues/26791,Configuration issue,7.825115741,1,50,4,3.976446759,7.825115741
none,https://github.com/eclipse/che/issues/17312,Configuration issue,111.1373264,1,100,1,111.1373264,111.1373264
none,https://github.com/ansible/ansible/issues/24529,Program anomaly issue,1151.76912,1,82,2,18.95556713,1151.76912
none,https://github.com/qgis/qgis/issues/36017,Configuration issue,141.7290162,3,59,6,0.2106712963,39.33267361
none,https://github.com/hashicorp/terraform/issues/26366,Program anomaly issue,0.1302777778,2,139,2,0.1302777778,30.36604167
none,https://github.com/ballerina-platform/ballerina-lang/issues/23113,Configuration issue,7.868611111,0,12,0,,
none,https://github.com/ballerina-platform/ballerina-lang/issues/10326,Database-related issue,2.907372685,1,95,3,0.01501157407,2.907372685
none,https://github.com/godotengine/godot/issues/16100,Configuration issue,365.4538657,4,33,21,0.6131597222,361.7792593
none,https://github.com/zephyrproject-rtos/zephyr/issues/7441,Program anomaly issue,289.2248264,1,23,4,7.918020833,289.2248264
none,https://github.com/hashicorp/terraform/issues/13776,Program anomaly issue,91.06230324,3,163,4,0.8483564815,1084.348275
none,https://github.com/spring-projects/spring-boot/issues/11964,Program anomaly issue,0.8789583333,1,61,3,0.006967592593,0.8642592593
none,https://github.com/ballerina-platform/ballerina-lang/issues/23890,Program anomaly issue,2.097881944,0,353,1,2.097881944,2.097881944
none,https://github.com/tensorflow/tensorflow/issues/28238,Program anomaly issue,934.9847454,2,36,4,0.8096643519,920.9666319
none,https://github.com/microsoft/powertoys/issues/15547,Configuration issue,15.76017361,2,46,4,4.240590278,5.139467593
none,https://github.com/gatsbyjs/gatsby/issues/8237,GUI-related issue,193.7793866,14,299,46,0.07048611111,268.0012153
none,https://github.com/tensorflow/tensorflow/issues/42027,Program anomaly issue,542.1802546,3,38,10,0.01622685185,542.1802546
none,https://github.com/mozilla-mobile/fenix/issues/5951,Program anomaly issue,3.937152778,5,85,5,2.936631944,12.25961806
none,https://github.com/gatsbyjs/gatsby/issues/10987,GUI-related issue,0.642962963,2,42,5,0.5031828704,0.642962963
